parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
2781,-0.0334327,-0.0464891,0.0567113,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458393,7.18817,1.85E-15
2782,-0.0334327,-0.0464891,0.0567112,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458393,7.18817,1.85E-15
2783,-0.0334328,-0.0464891,0.0567111,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458394,7.18817,1.85E-15
2784,-0.0334328,-0.0464891,0.056711,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458395,7.18817,1.85E-15
2785,-0.0334328,-0.0464892,0.0567109,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458395,7.18817,1.85E-15
2786,-0.0334329,-0.0464892,0.0567108,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458396,7.18816,1.85E-15
2787,-0.0334329,-0.0464892,0.0567107,0.00015526,-1.02E-07,-1.02E-07,0.111195,0.0458397,7.18816,1.85E-15
2788,-0.0334329,-0.0464893,0.0567105,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458397,7.18816,1.85E-15
2789,-0.033433,-0.0464893,0.0567104,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458398,7.18816,1.85E-15
2790,-0.033433,-0.0464893,0.0567103,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458399,7.18816,1.85E-15
2791,-0.033433,-0.0464893,0.0567102,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458399,7.18816,1.85E-15
2792,-0.0334331,-0.0464894,0.0567101,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.04584,7.18816,1.85E-15
2793,-0.0334331,-0.0464894,0.05671,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458401,7.18816,1.85E-15
2794,-0.0334331,-0.0464894,0.0567099,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458401,7.18816,1.85E-15
2795,-0.0334331,-0.0464895,0.0567098,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458402,7.18816,1.85E-15
2796,-0.0334332,-0.0464895,0.0567097,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458403,7.18816,1.85E-15
2797,-0.0334332,-0.0464895,0.0567095,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458404,7.18816,1.85E-15
2798,-0.0334332,-0.0464895,0.0567094,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458404,7.18816,1.85E-15
2799,-0.0334333,-0.0464896,0.0567093,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458405,7.18816,1.85E-15
2800,-0.0334333,-0.0464896,0.0567092,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458406,7.18815,1.85E-15
2801,-0.0334333,-0.0464896,0.0567091,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458406,7.18815,1.85E-15
2802,-0.0334334,-0.0464896,0.056709,0.00015526,-1.02E-07,-1.02E-07,0.111194,0.0458407,7.18815,1.85E-15
2803,-0.0334334,-0.0464897,0.0567089,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458408,7.18815,1.85E-15
2804,-0.0334334,-0.0464897,0.0567088,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458408,7.18815,1.85E-15
2805,-0.0334334,-0.0464897,0.0567087,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458409,7.18815,1.85E-15
2806,-0.0334335,-0.0464898,0.0567085,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.045841,7.18815,1.85E-15
2807,-0.0334335,-0.0464898,0.0567084,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.045841,7.18815,1.85E-15
2808,-0.0334335,-0.0464898,0.0567083,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458411,7.18815,1.85E-15
2809,-0.0334336,-0.0464898,0.0567082,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458412,7.18815,1.85E-15
2810,-0.0334336,-0.0464899,0.0567081,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458412,7.18815,1.85E-15
2811,-0.0334336,-0.0464899,0.056708,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458413,7.18815,1.85E-15
2812,-0.0334337,-0.0464899,0.0567079,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458414,7.18815,1.85E-15
2813,-0.0334337,-0.0464899,0.0567078,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458414,7.18815,1.85E-15
2814,-0.0334337,-0.04649,0.0567077,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458415,7.18814,1.85E-15
2815,-0.0334337,-0.04649,0.0567076,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458416,7.18814,1.85E-15
2816,-0.0334338,-0.04649,0.0567074,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458416,7.18814,1.85E-15
2817,-0.0334338,-0.0464901,0.0567073,0.00015526,-1.02E-07,-1.02E-07,0.111193,0.0458417,7.18814,1.85E-15
2818,-0.0334338,-0.0464901,0.0567072,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458418,7.18814,1.85E-15
2819,-0.0334339,-0.0464901,0.0567071,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458418,7.18814,1.85E-15
2820,-0.0334339,-0.0464901,0.056707,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458419,7.18814,1.85E-15
2821,-0.0334339,-0.0464902,0.0567069,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.045842,7.18814,1.85E-15
2822,-0.033434,-0.0464902,0.0567068,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.045842,7.18814,1.85E-15
2823,-0.033434,-0.0464902,0.0567067,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458421,7.18814,1.85E-15
2824,-0.033434,-0.0464902,0.0567066,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458422,7.18814,1.85E-15
2825,-0.033434,-0.0464903,0.0567065,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458422,7.18814,1.85E-15
2826,-0.0334341,-0.0464903,0.0567064,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458423,7.18814,1.85E-15
2827,-0.0334341,-0.0464903,0.0567063,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458424,7.18813,1.85E-15
2828,-0.0334341,-0.0464904,0.0567061,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458424,7.18813,1.85E-15
2829,-0.0334342,-0.0464904,0.056706,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458425,7.18813,1.85E-15
2830,-0.0334342,-0.0464904,0.0567059,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458426,7.18813,1.85E-15
2831,-0.0334342,-0.0464904,0.0567058,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458426,7.18813,1.85E-15
2832,-0.0334342,-0.0464905,0.0567057,0.00015526,-1.02E-07,-1.02E-07,0.111192,0.0458427,7.18813,1.85E-15
2833,-0.0334343,-0.0464905,0.0567056,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458428,7.18813,1.85E-15
2834,-0.0334343,-0.0464905,0.0567055,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458428,7.18813,1.85E-15
2835,-0.0334343,-0.0464905,0.0567054,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458429,7.18813,1.85E-15
2836,-0.0334344,-0.0464906,0.0567053,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.045843,7.18813,1.85E-15
2837,-0.0334344,-0.0464906,0.0567052,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.045843,7.18813,1.85E-15
2838,-0.0334344,-0.0464906,0.0567051,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458431,7.18813,1.85E-15
2839,-0.0334345,-0.0464907,0.056705,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458432,7.18813,1.85E-15
2840,-0.0334345,-0.0464907,0.0567049,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458432,7.18813,1.85E-15
2841,-0.0334345,-0.0464907,0.0567048,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458433,7.18813,1.85E-15
2842,-0.0334345,-0.0464907,0.0567046,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458434,7.18812,1.85E-15
2843,-0.0334346,-0.0464908,0.0567045,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458434,7.18812,1.85E-15
2844,-0.0334346,-0.0464908,0.0567044,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458435,7.18812,1.85E-15
2845,-0.0334346,-0.0464908,0.0567043,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458436,7.18812,1.85E-15
2846,-0.0334347,-0.0464908,0.0567042,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458436,7.18812,1.85E-15
2847,-0.0334347,-0.0464909,0.0567041,0.00015526,-1.02E-07,-1.02E-07,0.111191,0.0458437,7.18812,1.85E-15
2848,-0.0334347,-0.0464909,0.056704,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458438,7.18812,1.85E-15
2849,-0.0334347,-0.0464909,0.0567039,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458438,7.18812,1.85E-15
2850,-0.0334348,-0.0464909,0.0567038,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458439,7.18812,1.85E-15
2851,-0.0334348,-0.046491,0.0567037,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458439,7.18812,1.85E-15
2852,-0.0334348,-0.046491,0.0567036,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.045844,7.18812,1.85E-15
2853,-0.0334349,-0.046491,0.0567035,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458441,7.18812,1.85E-15
2854,-0.0334349,-0.0464911,0.0567034,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458441,7.18812,1.85E-15
2855,-0.0334349,-0.0464911,0.0567033,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458442,7.18812,1.85E-15
2856,-0.0334349,-0.0464911,0.0567032,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458443,7.18811,1.85E-15
2857,-0.033435,-0.0464911,0.0567031,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458443,7.18811,1.85E-15
2858,-0.033435,-0.0464912,0.056703,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458444,7.18811,1.85E-15
2859,-0.033435,-0.0464912,0.0567029,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458445,7.18811,1.85E-15
2860,-0.0334351,-0.0464912,0.0567027,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458445,7.18811,1.85E-15
2861,-0.0334351,-0.0464912,0.0567026,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458446,7.18811,1.85E-15
2862,-0.0334351,-0.0464913,0.0567025,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458447,7.18811,1.85E-15
2863,-0.0334351,-0.0464913,0.0567024,0.00015526,-1.02E-07,-1.02E-07,0.11119,0.0458447,7.18811,1.85E-15
2864,-0.0334352,-0.0464913,0.0567023,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458448,7.18811,1.85E-15
2865,-0.0334352,-0.0464913,0.0567022,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458448,7.18811,1.85E-15
2866,-0.0334352,-0.0464914,0.0567021,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458449,7.18811,1.85E-15
2867,-0.0334353,-0.0464914,0.056702,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.045845,7.18811,1.85E-15
2868,-0.0334353,-0.0464914,0.0567019,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.045845,7.18811,1.85E-15
2869,-0.0334353,-0.0464914,0.0567018,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458451,7.18811,1.85E-15
2870,-0.0334353,-0.0464915,0.0567017,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458452,7.1881,1.85E-15
2871,-0.0334354,-0.0464915,0.0567016,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458452,7.1881,1.85E-15
2872,-0.0334354,-0.0464915,0.0567015,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458453,7.1881,1.85E-15
2873,-0.0334354,-0.0464915,0.0567014,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458454,7.1881,1.85E-15
2874,-0.0334355,-0.0464916,0.0567013,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458454,7.1881,1.85E-15
2875,-0.0334355,-0.0464916,0.0567012,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458455,7.1881,1.85E-15
2876,-0.0334355,-0.0464916,0.0567011,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458455,7.1881,1.85E-15
2877,-0.0334355,-0.0464917,0.056701,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458456,7.1881,1.85E-15
2878,-0.0334356,-0.0464917,0.0567009,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458457,7.1881,1.85E-15
2879,-0.0334356,-0.0464917,0.0567008,0.00015526,-1.02E-07,-1.02E-07,0.111189,0.0458457,7.1881,1.85E-15
2880,-0.0334356,-0.0464917,0.0567007,0.00015526,-1.02E-07,-1.02E-07,0.111188,0.0458458,7.1881,1.85E-15
2881,-0.0334357,-0.0464918,0.0567006,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458459,7.1881,1.85E-15
2882,-0.0334357,-0.0464918,0.0567005,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458459,7.1881,1.85E-15
2883,-0.0334357,-0.0464918,0.0567004,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.045846,7.1881,1.85E-15
2884,-0.0334357,-0.0464918,0.0567003,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458461,7.1881,1.85E-15
2885,-0.0334358,-0.0464919,0.0567002,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458461,7.18809,1.85E-15
2886,-0.0334358,-0.0464919,0.0567001,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458462,7.18809,1.85E-15
2887,-0.0334358,-0.0464919,0.0567,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458462,7.18809,1.85E-15
2888,-0.0334358,-0.0464919,0.0566999,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458463,7.18809,1.85E-15
2889,-0.0334359,-0.046492,0.0566998,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458464,7.18809,1.85E-15
2890,-0.0334359,-0.046492,0.0566997,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458464,7.18809,1.85E-15
2891,-0.0334359,-0.046492,0.0566996,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458465,7.18809,1.85E-15
2892,-0.033436,-0.046492,0.0566995,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458465,7.18809,1.85E-15
2893,-0.033436,-0.0464921,0.0566994,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458466,7.18809,1.85E-15
2894,-0.033436,-0.0464921,0.0566993,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458467,7.18809,1.85E-15
2895,-0.033436,-0.0464921,0.0566992,0.000155261,-1.02E-07,-1.02E-07,0.111188,0.0458467,7.18809,1.85E-15
2896,-0.0334361,-0.0464921,0.0566991,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458468,7.18809,1.85E-15
2897,-0.0334361,-0.0464922,0.056699,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458469,7.18809,1.85E-15
2898,-0.0334361,-0.0464922,0.0566989,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458469,7.18809,1.85E-15
2899,-0.0334362,-0.0464922,0.0566988,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.045847,7.18809,1.85E-15
2900,-0.0334362,-0.0464922,0.0566987,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.045847,7.18808,1.85E-15
2901,-0.0334362,-0.0464923,0.0566986,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458471,7.18808,1.85E-15
2902,-0.0334362,-0.0464923,0.0566985,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458472,7.18808,1.85E-15
2903,-0.0334363,-0.0464923,0.0566984,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458472,7.18808,1.85E-15
2904,-0.0334363,-0.0464923,0.0566983,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458473,7.18808,1.85E-15
2905,-0.0334363,-0.0464924,0.0566982,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458474,7.18808,1.85E-15
2906,-0.0334363,-0.0464924,0.0566981,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458474,7.18808,1.85E-15
2907,-0.0334364,-0.0464924,0.056698,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458475,7.18808,1.85E-15
2908,-0.0334364,-0.0464924,0.0566979,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458475,7.18808,1.85E-15
2909,-0.0334364,-0.0464925,0.0566978,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458476,7.18808,1.85E-15
2910,-0.0334365,-0.0464925,0.0566977,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458477,7.18808,1.85E-15
2911,-0.0334365,-0.0464925,0.0566976,0.000155261,-1.02E-07,-1.02E-07,0.111187,0.0458477,7.18808,1.85E-15
2912,-0.0334365,-0.0464925,0.0566975,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458478,7.18808,1.85E-15
2913,-0.0334365,-0.0464926,0.0566974,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458478,7.18808,1.85E-15
2914,-0.0334366,-0.0464926,0.0566973,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458479,7.18808,1.85E-15
2915,-0.0334366,-0.0464926,0.0566972,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.045848,7.18807,1.85E-15
2916,-0.0334366,-0.0464926,0.0566971,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.045848,7.18807,1.85E-15
2917,-0.0334366,-0.0464927,0.056697,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458481,7.18807,1.85E-15
2918,-0.0334367,-0.0464927,0.0566969,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458481,7.18807,1.85E-15
2919,-0.0334367,-0.0464927,0.0566968,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458482,7.18807,1.85E-15
2920,-0.0334367,-0.0464927,0.0566967,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458483,7.18807,1.85E-15
2921,-0.0334368,-0.0464928,0.0566966,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458483,7.18807,1.85E-15
2922,-0.0334368,-0.0464928,0.0566965,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458484,7.18807,1.85E-15
2923,-0.0334368,-0.0464928,0.0566964,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458485,7.18807,1.85E-15
2924,-0.0334368,-0.0464928,0.0566963,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458485,7.18807,1.85E-15
2925,-0.0334369,-0.0464929,0.0566962,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458486,7.18807,1.85E-15
2926,-0.0334369,-0.0464929,0.0566961,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458486,7.18807,1.85E-15
2927,-0.0334369,-0.0464929,0.056696,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458487,7.18807,1.85E-15
2928,-0.0334369,-0.0464929,0.0566959,0.000155261,-1.02E-07,-1.02E-07,0.111186,0.0458488,7.18807,1.85E-15
2929,-0.033437,-0.046493,0.0566958,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458488,7.18807,1.85E-15
2930,-0.033437,-0.046493,0.0566957,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458489,7.18807,1.85E-15
2931,-0.033437,-0.046493,0.0566956,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458489,7.18806,1.85E-15
2932,-0.033437,-0.046493,0.0566955,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.045849,7.18806,1.85E-15
2933,-0.0334371,-0.0464931,0.0566954,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458491,7.18806,1.85E-15
2934,-0.0334371,-0.0464931,0.0566953,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458491,7.18806,1.85E-15
2935,-0.0334371,-0.0464931,0.0566952,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458492,7.18806,1.85E-15
2936,-0.0334372,-0.0464931,0.0566951,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458492,7.18806,1.85E-15
2937,-0.0334372,-0.0464932,0.056695,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458493,7.18806,1.85E-15
2938,-0.0334372,-0.0464932,0.0566949,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458493,7.18806,1.85E-15
2939,-0.0334372,-0.0464932,0.0566948,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458494,7.18806,1.85E-15
2940,-0.0334373,-0.0464932,0.0566947,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458495,7.18806,1.85E-15
2941,-0.0334373,-0.0464932,0.0566946,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458495,7.18806,1.85E-15
2942,-0.0334373,-0.0464933,0.0566945,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458496,7.18806,1.85E-15
2943,-0.0334373,-0.0464933,0.0566944,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458496,7.18806,1.85E-15
2944,-0.0334374,-0.0464933,0.0566943,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458497,7.18806,1.85E-15
2945,-0.0334374,-0.0464933,0.0566942,0.000155261,-1.02E-07,-1.02E-07,0.111185,0.0458498,7.18806,1.85E-15
2946,-0.0334374,-0.0464934,0.0566941,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458498,7.18805,1.85E-15
2947,-0.0334374,-0.0464934,0.056694,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458499,7.18805,1.85E-15
2948,-0.0334375,-0.0464934,0.0566939,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458499,7.18805,1.85E-15
2949,-0.0334375,-0.0464934,0.0566939,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.04585,7.18805,1.85E-15
2950,-0.0334375,-0.0464935,0.0566938,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458501,7.18805,1.85E-15
2951,-0.0334375,-0.0464935,0.0566937,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458501,7.18805,1.85E-15
2952,-0.0334376,-0.0464935,0.0566936,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458502,7.18805,1.85E-15
2953,-0.0334376,-0.0464935,0.0566935,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458502,7.18805,1.85E-15
2954,-0.0334376,-0.0464936,0.0566934,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458503,7.18805,1.85E-15
2955,-0.0334377,-0.0464936,0.0566933,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458504,7.18805,1.85E-15
2956,-0.0334377,-0.0464936,0.0566932,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458504,7.18805,1.85E-15
2957,-0.0334377,-0.0464936,0.0566931,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458505,7.18805,1.85E-15
2958,-0.0334377,-0.0464937,0.056693,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458505,7.18805,1.85E-15
2959,-0.0334378,-0.0464937,0.0566929,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458506,7.18805,1.85E-15
2960,-0.0334378,-0.0464937,0.0566928,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458506,7.18805,1.85E-15
2961,-0.0334378,-0.0464937,0.0566927,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458507,7.18805,1.85E-15
2962,-0.0334378,-0.0464938,0.0566926,0.000155261,-1.02E-07,-1.02E-07,0.111184,0.0458508,7.18804,1.85E-15
2963,-0.0334379,-0.0464938,0.0566925,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458508,7.18804,1.85E-15
2964,-0.0334379,-0.0464938,0.0566924,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458509,7.18804,1.85E-15
2965,-0.0334379,-0.0464938,0.0566923,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458509,7.18804,1.85E-15
2966,-0.0334379,-0.0464938,0.0566922,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.045851,7.18804,1.85E-15
2967,-0.033438,-0.0464939,0.0566921,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458511,7.18804,1.85E-15
2968,-0.033438,-0.0464939,0.056692,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458511,7.18804,1.85E-15
2969,-0.033438,-0.0464939,0.056692,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458512,7.18804,1.85E-15
2970,-0.033438,-0.0464939,0.0566919,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458512,7.18804,1.85E-15
2971,-0.0334381,-0.046494,0.0566918,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458513,7.18804,1.85E-15
2972,-0.0334381,-0.046494,0.0566917,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458513,7.18804,1.85E-15
2973,-0.0334381,-0.046494,0.0566916,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458514,7.18804,1.85E-15
2974,-0.0334381,-0.046494,0.0566915,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458515,7.18804,1.85E-15
2975,-0.0334382,-0.0464941,0.0566914,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458515,7.18804,1.85E-15
2976,-0.0334382,-0.0464941,0.0566913,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458516,7.18804,1.85E-15
2977,-0.0334382,-0.0464941,0.0566912,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458516,7.18804,1.85E-15
2978,-0.0334382,-0.0464941,0.0566911,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458517,7.18803,1.85E-15
2979,-0.0334383,-0.0464941,0.056691,0.000155261,-1.02E-07,-1.02E-07,0.111183,0.0458517,7.18803,1.85E-15
2980,-0.0334383,-0.0464942,0.0566909,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458518,7.18803,1.85E-15
2981,-0.0334383,-0.0464942,0.0566908,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458519,7.18803,1.85E-15
2982,-0.0334383,-0.0464942,0.0566907,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.0458519,7.18803,1.85E-15
2983,-0.0334384,-0.0464942,0.0566907,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.045852,7.18803,1.85E-15
2984,-0.0334384,-0.0464943,0.0566906,0.000155261,-1.02E-07,-1.02E-07,0.111182,0.045852,7.18803,1.85E-15
