time,v_c(130),v_c(100),v_c(70),v_c(40),G_i(130),G_i(100),G_i(70),G_i(40),Na_i(130),Na_i(100),Na_i(70),Na_i(40),Cl_i(130),Cl_i(100),Cl_i(70),Cl_i(40),J_W_A(130),J_W_A(100),J_W_A(70),J_W_A(40),Cl_i(130)-A,Cl_i(100)-A,Cl_i(70)-A,Cl_i(40)-A,Na_i(130)-A,Na_i(100)-A,Na_i(70)-A,Na_i(40)-A,G_i(130)-A,G_i(100)-A,G_i(70)-A,G_i(40)-A,v_c(130)-A,v_c(100)-A,v_c(70)-A,v_c(40)-A,J_W_A(130)-A,J_W_A(100)-A,J_W_A(70)-A,J_W_A(40)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,45,45,45,45,57,57,57,57,-1.44E-06,-3.96E-06,-6.48E-06,-9.00E-06,57,57,57,57,45,45,45,45,9,9,9,9,2.00E-15,2.00E-15,2.00E-15,2.00E-15,-1.44E-06,-3.96E-06,-6.48E-06,-9.00E-06
1,2.02E-15,2.06E-15,2.11E-15,2.15E-15,8.74847,8.56526,8.38679,8.21262,44.5294,43.5512,42.5758,41.5677,56.3968,55.0957,53.7362,52.1274,-1.30E-06,-3.55E-06,-5.81E-06,-8.07E-06,56.3946,55.0936,53.7343,52.1256,44.5276,43.5496,42.5743,41.5662,8.889,8.7021,8.52007,8.34243,2.02E-15,2.06E-15,2.11E-15,2.15E-15,-1.30E-06,-3.56E-06,-5.81E-06,-8.07E-06
2,2.04E-15,2.12E-15,2.20E-15,2.28E-15,8.52458,8.19986,7.89235,7.6004,44.1405,42.3612,40.6295,38.8758,55.9021,53.5998,51.2987,48.7535,-1.18E-06,-3.21E-06,-5.27E-06,-7.35E-06,55.8947,53.5931,51.2927,48.7483,44.1345,42.3558,40.6247,38.8715,8.7998,8.46178,8.14176,7.83798,2.04E-15,2.12E-15,2.20E-15,2.28E-15,-1.19E-06,-3.22E-06,-5.28E-06,-7.36E-06
3,2.05E-15,2.17E-15,2.28E-15,2.40E-15,8.31997,7.88431,7.48071,7.10596,43.8143,41.3701,39.0355,36.7058,55.4869,52.367,49.3409,46.1405,-1.08E-06,-2.93E-06,-4.83E-06,-6.77E-06,55.4721,52.3542,49.3299,46.1312,43.8022,41.3597,39.0266,36.6981,8.72492,8.26199,7.83334,7.4354,2.05E-15,2.17E-15,2.28E-15,2.40E-15,-1.09E-06,-2.95E-06,-4.85E-06,-6.78E-06
4,2.07E-15,2.21E-15,2.35E-15,2.50E-15,8.13022,7.60682,7.1302,6.69545,43.5394,40.5359,37.7074,34.9141,55.1358,51.3307,47.716,44.0035,-9.93E-07,-2.70E-06,-4.47E-06,-6.29E-06,55.1118,51.3107,47.6994,43.9899,43.5199,40.5197,37.6938,34.9029,8.66055,8.09267,7.5759,7.10466,2.07E-15,2.21E-15,2.35E-15,2.50E-15,-1.01E-06,-2.71E-06,-4.48E-06,-6.31E-06
5,2.08E-15,2.24E-15,2.42E-15,2.60E-15,7.95267,7.35963,6.82673,6.34765,43.3077,39.828,36.5852,33.4065,54.8382,50.4501,46.3432,42.2077,-9.19E-07,-2.49E-06,-4.16E-06,-5.89E-06,54.8036,50.4221,46.3206,42.1897,43.2796,39.8052,36.5668,33.3917,8.6045,7.94727,7.35727,6.82705,2.08E-15,2.25E-15,2.42E-15,2.60E-15,-9.38E-07,-2.51E-06,-4.18E-06,-5.91E-06
6,2.09E-15,2.28E-15,2.48E-15,2.68E-15,7.78549,7.13717,6.56056,6.04832,43.1126,39.223,35.6262,32.1182,54.5857,49.6962,45.1691,40.6729,-8.54E-07,-2.32E-06,-3.89E-06,-5.55E-06,54.5395,49.6597,45.1402,40.6505,43.0749,39.1932,35.6027,32.0998,8.55531,7.82117,7.1691,6.59011,2.09E-15,2.28E-15,2.48E-15,2.68E-15,-8.76E-07,-2.34E-06,-3.91E-06,-5.57E-06
7,2.10E-15,2.31E-15,2.53E-15,2.76E-15,7.62731,6.93529,6.32464,5.78751,42.9485,38.7031,34.7987,31.0035,54.3718,49.047,44.1552,39.3445,-7.98E-07,-2.17E-06,-3.67E-06,-5.26E-06,54.313,49.0015,44.12,39.3178,42.9006,38.666,34.7701,30.9817,8.51189,7.71092,7.00535,6.38515,2.10E-15,2.31E-15,2.53E-15,2.76E-15,-8.22E-07,-2.19E-06,-3.69E-06,-5.28E-06
8,2.10E-15,2.33E-15,2.58E-15,2.83E-15,7.47704,6.7508,6.11371,5.55796,42.811,38.2542,34.079,30.0289,54.1907,48.4852,43.2726,38.1829,-7.50E-07,-2.04E-06,-3.47E-06,-5.00E-06,54.1185,48.4303,43.231,38.1521,42.7521,38.2095,34.0452,30.0037,8.47337,7.61386,6.86155,6.20589,2.11E-15,2.34E-15,2.58E-15,2.84E-15,-7.76E-07,-2.06E-06,-3.49E-06,-5.02E-06
9,2.11E-15,2.36E-15,2.62E-15,2.90E-15,7.33379,6.58116,5.92374,5.35423,42.6961,37.8651,33.449,29.1693,54.0377,47.9971,42.4992,37.1585,-7.08E-07,-1.92E-06,-3.29E-06,-4.78E-06,53.9515,47.9326,42.4512,37.1236,42.6259,37.8126,33.41,29.1409,8.43904,7.52791,6.73428,6.04761,2.11E-15,2.36E-15,2.62E-15,2.90E-15,-7.35E-07,-1.95E-06,-3.31E-06,-4.80E-06
10,2.12E-15,2.38E-15,2.66E-15,2.96E-15,7.19685,6.42436,5.75156,5.17215,42.6007,37.527,32.8942,28.4055,53.9088,47.5715,41.8176,36.2483,-6.72E-07,-1.82E-06,-3.14E-06,-4.58E-06,53.8082,47.4973,41.7632,36.2096,42.5187,37.4665,32.8501,28.374,8.40832,7.45138,6.62086,5.90674,2.12E-15,2.38E-15,2.66E-15,2.97E-15,-7.00E-07,-1.85E-06,-3.16E-06,-4.60E-06
11,2.12E-15,2.40E-15,2.70E-15,3.02E-15,7.06561,6.27874,5.59467,5.00845,42.5221,37.2323,32.4034,27.7225,53.8006,47.1996,41.2139,35.4346,-6.40E-07,-1.73E-06,-3.00E-06,-4.40E-06,53.6854,47.1156,41.1533,35.3921,42.428,37.1639,32.3542,27.688,8.38072,7.38292,6.51919,5.78048,2.13E-15,2.40E-15,2.70E-15,3.03E-15,-6.69E-07,-1.76E-06,-3.02E-06,-4.42E-06
12,2.13E-15,2.41E-15,2.73E-15,3.08E-15,6.93956,6.14298,5.45105,4.86054,42.4579,36.9753,31.9674,27.1083,53.7104,46.874,40.6771,34.7031,-6.12E-07,-1.65E-06,-2.88E-06,-4.24E-06,53.5801,46.78,40.6103,34.657,42.3515,36.8987,31.9132,27.071,8.35581,7.32141,6.42755,5.66662,2.13E-15,2.42E-15,2.74E-15,3.08E-15,-6.42E-07,-1.68E-06,-2.90E-06,-4.26E-06
13,2.13E-15,2.43E-15,2.76E-15,3.13E-15,6.81828,6.01595,5.31903,4.72631,42.4063,36.7508,31.5786,26.5534,53.6357,46.5884,40.1979,34.0424,-5.88E-07,-1.58E-06,-2.76E-06,-4.10E-06,53.4902,46.4844,40.125,33.9929,42.2874,36.6661,31.5196,26.5134,8.33325,7.26592,6.34456,5.56339,2.14E-15,2.44E-15,2.77E-15,3.13E-15,-6.19E-07,-1.61E-06,-2.79E-06,-4.12E-06
14,2.13E-15,2.44E-15,2.79E-15,3.17E-15,6.70141,5.89671,5.19724,4.60404,42.3654,36.5545,31.231,26.0499,53.5743,46.3376,39.7689,33.4431,-5.67E-07,-1.52E-06,-2.67E-06,-3.97E-06,53.4136,46.2237,39.69,33.3904,42.234,36.4618,31.1671,26.0073,8.31272,7.21568,6.26908,5.46934,2.14E-15,2.45E-15,2.80E-15,3.18E-15,-5.98E-07,-1.55E-06,-2.69E-06,-3.99E-06
15,2.14E-15,2.46E-15,2.82E-15,3.22E-15,6.58866,5.78448,5.08455,4.4923,42.3339,36.383,30.9194,25.5913,53.5246,46.1173,39.3838,32.8976,-5.48E-07,-1.46E-06,-2.58E-06,-3.85E-06,53.3485,45.9935,39.299,32.8416,42.1898,36.2822,30.8508,25.5463,8.29397,7.17002,6.20016,5.38328,2.14E-15,2.46E-15,2.82E-15,3.22E-15,-5.80E-07,-1.49E-06,-2.60E-06,-3.87E-06
16,2.14E-15,2.47E-15,2.84E-15,3.26E-15,6.47975,5.67858,4.97999,4.3899,42.3104,36.2331,30.6394,25.1723,53.4849,45.9236,39.0372,32.3992,-5.32E-07,-1.41E-06,-2.50E-06,-3.74E-06,53.2935,45.79,38.9467,32.3403,42.1538,36.1243,30.5661,25.125,8.27677,7.12838,6.137,5.30422,2.15E-15,2.47E-15,2.85E-15,3.26E-15,-5.64E-07,-1.44E-06,-2.52E-06,-3.76E-06
17,2.14E-15,2.48E-15,2.86E-15,3.30E-15,6.37446,5.57844,4.88273,4.29584,42.2939,36.1023,30.3873,24.7882,53.4538,45.7535,38.7248,31.9427,-5.18E-07,-1.37E-06,-2.42E-06,-3.64E-06,53.2472,45.6101,38.6286,31.8809,42.1247,35.9855,30.3095,24.7387,8.26093,7.09029,6.07893,5.23135,2.15E-15,2.49E-15,2.87E-15,3.30E-15,-5.50E-07,-1.40E-06,-2.45E-06,-3.66E-06
18,2.14E-15,2.49E-15,2.88E-15,3.33E-15,6.27262,5.48357,4.79208,4.20924,42.2835,35.9883,30.16,24.4353,53.4303,45.604,38.4425,31.5234,-5.06E-07,-1.33E-06,-2.35E-06,-3.55E-06,53.2086,45.451,38.3409,31.4589,42.1018,35.8636,30.0779,24.3838,8.24628,7.05534,6.02537,5.16395,2.15E-15,2.49E-15,2.89E-15,3.34E-15,-5.38E-07,-1.36E-06,-2.38E-06,-3.57E-06
19,2.14E-15,2.49E-15,2.90E-15,3.37E-15,6.17405,5.39353,4.70742,4.12937,42.2783,35.8892,29.9548,24.1102,53.4133,45.4729,38.1873,31.1373,-4.95E-07,-1.29E-06,-2.29E-06,-3.47E-06,53.1766,45.3104,38.0802,31.0703,42.0843,35.7567,29.8684,24.0568,8.23267,7.02316,5.97584,5.10144,2.15E-15,2.50E-15,2.91E-15,3.37E-15,-5.28E-07,-1.32E-06,-2.32E-06,-3.49E-06
20,2.14E-15,2.50E-15,2.92E-15,3.40E-15,6.07862,5.30796,4.62822,4.05558,42.2777,35.8032,29.7694,23.8101,53.4019,45.3581,37.9561,30.7811,-4.86E-07,-1.26E-06,-2.24E-06,-3.39E-06,53.1504,45.1861,37.8439,30.7117,42.0714,35.663,29.6788,23.7549,8.21998,6.99347,5.9299,5.0433,2.16E-15,2.51E-15,2.93E-15,3.41E-15,-5.18E-07,-1.29E-06,-2.27E-06,-3.41E-06
21,2.15E-15,2.51E-15,2.94E-15,3.43E-15,5.98621,5.22653,4.55402,3.98731,42.2809,35.7289,29.6016,23.5326,53.3954,45.2576,37.7466,30.4518,-4.78E-07,-1.23E-06,-2.19E-06,-3.32E-06,53.1294,45.0765,37.6293,30.3801,42.0626,35.5812,29.507,23.4757,8.2081,6.96597,5.88719,4.98909,2.16E-15,2.52E-15,2.95E-15,3.44E-15,-5.10E-07,-1.26E-06,-2.21E-06,-3.34E-06
22,2.15E-15,2.51E-15,2.95E-15,3.46E-15,5.8967,5.14896,4.48441,3.92408,42.2875,35.665,29.4498,23.2755,53.3931,45.17,37.5565,30.1469,-4.71E-07,-1.21E-06,-2.14E-06,-3.25E-06,53.1128,44.9798,37.4343,30.0731,42.0573,35.5099,29.3513,23.217,8.19693,6.94045,5.84738,4.93842,2.16E-15,2.53E-15,2.96E-15,3.47E-15,-5.03E-07,-1.24E-06,-2.17E-06,-3.27E-06
23,2.15E-15,2.52E-15,2.97E-15,3.49E-15,5.81001,5.07499,4.41904,3.86544,42.2971,35.6103,29.3124,23.037,53.3944,45.0938,37.384,29.8641,-4.64E-07,-1.18E-06,-2.10E-06,-3.19E-06,53.1,44.8947,37.2569,29.7883,42.0551,35.4479,29.21,22.977,8.18639,6.9167,5.81021,4.89097,2.16E-15,2.53E-15,2.98E-15,3.50E-15,-4.96E-07,-1.21E-06,-2.12E-06,-3.21E-06
24,2.15E-15,2.53E-15,2.98E-15,3.51E-15,5.72604,5.0044,4.35757,3.811,42.3091,35.5639,29.1879,22.8153,53.3989,45.0278,37.2273,29.6014,-4.59E-07,-1.16E-06,-2.06E-06,-3.13E-06,53.0907,44.82,37.0956,29.5237,42.0556,35.3944,29.0819,22.7539,8.17641,6.89453,5.77541,4.84643,2.16E-15,2.54E-15,2.99E-15,3.52E-15,-4.91E-07,-1.19E-06,-2.09E-06,-3.15E-06
25,2.15E-15,2.53E-15,2.99E-15,3.53E-15,5.64472,4.93698,4.29973,3.76043,42.3232,35.5248,29.0752,22.609,53.406,44.9709,37.085,29.3571,-4.54E-07,-1.14E-06,-2.02E-06,-3.08E-06,53.0843,44.7547,36.9488,29.2776,42.0585,35.3484,28.9657,22.5463,8.16692,6.87378,5.74277,4.80456,2.16E-15,2.54E-15,3.01E-15,3.55E-15,-4.86E-07,-1.17E-06,-2.05E-06,-3.10E-06
26,2.15E-15,2.53E-15,3.00E-15,3.56E-15,5.56599,4.87256,4.24525,3.71341,42.3391,35.4923,28.9732,22.4168,53.4154,44.9222,36.9557,29.1296,-4.50E-07,-1.12E-06,-1.99E-06,-3.03E-06,53.0806,44.6976,36.8153,29.0485,42.0634,35.3091,28.8602,22.353,8.15786,6.85432,5.71209,4.76512,2.16E-15,2.55E-15,3.02E-15,3.57E-15,-4.81E-07,-1.15E-06,-2.02E-06,-3.05E-06
27,2.15E-15,2.54E-15,3.01E-15,3.58E-15,5.48979,4.81097,4.19391,3.66967,42.3566,35.4657,28.8809,22.2376,53.4267,44.8807,36.8383,28.9176,-4.47E-07,-1.11E-06,-1.96E-06,-2.98E-06,53.0791,44.6481,36.6937,28.8349,42.0702,35.2759,28.7646,22.1727,8.1492,6.83601,5.68321,4.7279,2.16E-15,2.55E-15,3.03E-15,3.59E-15,-4.78E-07,-1.14E-06,-1.98E-06,-3.00E-06
28,2.15E-15,2.54E-15,3.03E-15,3.60E-15,5.41605,4.75207,4.14548,3.62895,42.3754,35.4443,28.7974,22.0703,53.4397,44.8457,36.7318,28.7198,-4.44E-07,-1.10E-06,-1.93E-06,-2.94E-06,53.0796,44.6053,36.5831,28.6356,42.0784,35.248,28.678,22.0043,8.14087,6.81875,5.65596,4.69273,2.17E-15,2.56E-15,3.04E-15,3.61E-15,-4.74E-07,-1.12E-06,-1.96E-06,-2.96E-06
29,2.15E-15,2.54E-15,3.03E-15,3.62E-15,5.34472,4.69571,4.09978,3.59102,42.3952,35.4275,28.7219,21.9139,53.454,44.8165,36.635,28.535,-4.41E-07,-1.08E-06,-1.90E-06,-2.90E-06,53.0818,44.5685,36.4825,28.4495,42.088,35.2251,28.5995,21.8471,8.13286,6.80244,5.63022,4.65945,2.17E-15,2.56E-15,3.05E-15,3.63E-15,-4.71E-07,-1.11E-06,-1.93E-06,-2.92E-06
30,2.15E-15,2.55E-15,3.04E-15,3.64E-15,5.27576,4.64179,4.05663,3.55568,42.4159,35.415,28.6538,21.7677,53.4695,44.7925,36.5473,28.3624,-4.39E-07,-1.07E-06,-1.88E-06,-2.86E-06,53.0855,44.5372,36.3911,28.2756,42.0989,35.2065,28.5285,21.7,8.12512,6.78699,5.60585,4.62791,2.17E-15,2.56E-15,3.06E-15,3.65E-15,-4.69E-07,-1.10E-06,-1.90E-06,-2.88E-06
31,2.15E-15,2.55E-15,3.05E-15,3.66E-15,5.20911,4.59017,4.01587,3.52275,42.4374,35.4062,28.5925,21.6309,53.486,44.7732,36.4679,28.2009,-4.37E-07,-1.06E-06,-1.86E-06,-2.82E-06,53.0906,44.5107,36.3081,28.1129,42.1107,35.1918,28.4643,21.5625,8.11763,6.77231,5.58274,4.59797,2.17E-15,2.57E-15,3.07E-15,3.67E-15,-4.66E-07,-1.09E-06,-1.88E-06,-2.84E-06
32,2.15E-15,2.55E-15,3.06E-15,3.67E-15,5.14473,4.54076,3.97735,3.49205,42.4595,35.4007,28.5372,21.5027,53.5032,44.7581,36.3959,28.0498,-4.35E-07,-1.05E-06,-1.84E-06,-2.79E-06,53.0968,44.4887,36.2328,27.9608,42.1234,35.1807,28.4065,21.4336,8.11037,6.75834,5.5608,4.56953,2.17E-15,2.57E-15,3.08E-15,3.69E-15,-4.64E-07,-1.08E-06,-1.86E-06,-2.81E-06
33,2.15E-15,2.56E-15,3.07E-15,3.69E-15,5.08257,4.49347,3.94094,3.46342,42.482,35.3982,28.4877,21.3827,53.5211,44.7467,36.3309,27.9082,-4.34E-07,-1.04E-06,-1.82E-06,-2.76E-06,53.1041,44.4707,36.1645,27.8183,42.1369,35.1727,28.3543,21.313,8.1033,6.74501,5.53994,4.54247,2.17E-15,2.57E-15,3.08E-15,3.70E-15,-4.62E-07,-1.07E-06,-1.84E-06,-2.78E-06
34,2.15E-15,2.56E-15,3.07E-15,3.70E-15,5.02259,4.44819,3.9065,3.43671,42.5049,35.3984,28.4432,21.2701,53.5394,44.7386,36.2722,27.7757,-4.33E-07,-1.04E-06,-1.80E-06,-2.73E-06,53.1122,44.4562,36.1027,27.6848,42.151,35.1676,28.3075,21.1999,8.09641,6.73227,5.52006,4.5167,2.17E-15,2.58E-15,3.09E-15,3.72E-15,-4.61E-07,-1.06E-06,-1.82E-06,-2.75E-06
35,2.15E-15,2.56E-15,3.08E-15,3.72E-15,4.96473,4.40484,3.87393,3.41179,42.528,35.401,28.4035,21.1645,53.5581,44.7335,36.2194,27.6514,-4.32E-07,-1.03E-06,-1.78E-06,-2.70E-06,53.121,44.445,36.047,27.5598,42.1657,35.1651,28.2655,21.0938,8.08968,6.72006,5.5011,4.49212,2.17E-15,2.58E-15,3.10E-15,3.74E-15,-4.59E-07,-1.06E-06,-1.81E-06,-2.72E-06
36,2.15E-15,2.56E-15,3.09E-15,3.73E-15,4.90897,4.36335,3.84312,3.38854,42.5514,35.4056,28.3682,21.0654,53.5771,44.7311,36.1719,27.5348,-4.31E-07,-1.02E-06,-1.77E-06,-2.67E-06,53.1305,44.4367,35.9967,27.4425,42.1809,35.1649,28.228,20.9943,8.0831,6.70834,5.48299,4.46866,2.17E-15,2.58E-15,3.10E-15,3.75E-15,-4.58E-07,-1.05E-06,-1.79E-06,-2.69E-06
37,2.15E-15,2.56E-15,3.09E-15,3.75E-15,4.85524,4.32363,3.81395,3.36685,42.5748,35.4122,28.3368,20.9723,53.5963,44.731,36.1293,27.4255,-4.30E-07,-1.02E-06,-1.75E-06,-2.65E-06,53.1406,44.431,35.9514,27.3326,42.1965,35.1668,28.1946,20.9009,8.07666,6.69707,5.46567,4.44624,2.17E-15,2.58E-15,3.11E-15,3.76E-15,-4.57E-07,-1.04E-06,-1.78E-06,-2.66E-06
38,2.15E-15,2.56E-15,3.10E-15,3.76E-15,4.80351,4.28562,3.78635,3.3466,42.5984,35.4204,28.3091,20.8849,53.6156,44.7331,36.0912,27.3229,-4.30E-07,-1.01E-06,-1.74E-06,-2.62E-06,53.1512,44.4277,35.9109,27.2294,42.2124,35.1705,28.165,20.8132,8.07034,6.6862,5.44907,4.4248,2.17E-15,2.58E-15,3.12E-15,3.78E-15,-4.56E-07,-1.04E-06,-1.76E-06,-2.64E-06
39,2.15E-15,2.57E-15,3.10E-15,3.77E-15,4.75373,4.24925,3.76022,3.32771,42.6219,35.43,28.2848,20.8028,53.635,44.7371,36.0573,27.2266,-4.29E-07,-1.01E-06,-1.73E-06,-2.60E-06,53.1622,44.4265,35.8747,27.1326,42.2287,35.1759,28.1389,20.7309,8.06413,6.67571,5.43316,4.40427,2.17E-15,2.59E-15,3.12E-15,3.79E-15,-4.55E-07,-1.03E-06,-1.75E-06,-2.62E-06
40,2.15E-15,2.57E-15,3.11E-15,3.78E-15,4.70586,4.21445,3.73548,3.31007,42.6453,35.441,28.2635,20.7256,53.6543,44.7427,36.0273,27.1362,-4.29E-07,-1.00E-06,-1.72E-06,-2.58E-06,53.1736,44.4273,35.8424,27.0419,42.2452,35.1828,28.116,20.6536,8.05803,6.66557,5.41787,4.38459,2.17E-15,2.59E-15,3.13E-15,3.80E-15,-4.54E-07,-1.03E-06,-1.74E-06,-2.60E-06
41,2.15E-15,2.57E-15,3.11E-15,3.79E-15,4.65985,4.18115,3.71205,3.29362,42.6687,35.4532,28.2452,20.653,53.6736,44.7498,36.0008,27.0513,-4.29E-07,-1.00E-06,-1.71E-06,-2.56E-06,53.1853,44.4298,35.8139,26.9567,42.2619,35.1911,28.0961,20.5809,8.05202,6.65574,5.40318,4.36572,2.17E-15,2.59E-15,3.13E-15,3.81E-15,-4.54E-07,-1.02E-06,-1.73E-06,-2.58E-06
42,2.15E-15,2.57E-15,3.12E-15,3.80E-15,4.61565,4.14931,3.68985,3.27826,42.6919,35.4664,28.2294,20.5848,53.6928,44.7583,35.9775,26.9716,-4.28E-07,-9.97E-07,-1.70E-06,-2.54E-06,53.1972,44.4338,35.7887,26.8767,42.2787,35.2006,28.0788,20.5127,8.0461,6.64621,5.38903,4.34761,2.17E-15,2.59E-15,3.14E-15,3.82E-15,-4.53E-07,-1.02E-06,-1.72E-06,-2.56E-06
43,2.15E-15,2.57E-15,3.12E-15,3.81E-15,4.57323,4.11886,3.66884,3.26393,42.715,35.4804,28.2161,20.5206,53.7118,44.7679,35.9572,26.8967,-4.28E-07,-9.94E-07,-1.69E-06,-2.52E-06,53.2094,44.4393,35.7666,26.8017,42.2957,35.2112,28.0642,20.4486,8.04026,6.63695,5.37539,4.33021,2.17E-15,2.59E-15,3.14E-15,3.83E-15,-4.52E-07,-1.02E-06,-1.71E-06,-2.54E-06
44,2.15E-15,2.57E-15,3.12E-15,3.82E-15,4.53252,4.08975,3.64893,3.25057,42.738,35.4953,28.2049,20.4603,53.7307,44.7786,35.9397,26.8264,-4.28E-07,-9.91E-07,-1.68E-06,-2.51E-06,53.2217,44.4461,35.7475,26.7312,42.3128,35.2227,28.0518,20.3883,8.0345,6.62793,5.36223,4.31347,2.17E-15,2.59E-15,3.15E-15,3.84E-15,-4.52E-07,-1.01E-06,-1.70E-06,-2.52E-06
45,2.15E-15,2.57E-15,3.13E-15,3.83E-15,4.49349,4.06193,3.63006,3.2381,42.7607,35.5108,28.1959,20.4035,53.7494,44.7901,35.9248,26.7603,-4.28E-07,-9.89E-07,-1.67E-06,-2.49E-06,53.2343,44.454,35.7311,26.6652,42.33,35.2352,28.0416,20.3317,8.02881,6.61915,5.34951,4.29737,2.18E-15,2.60E-15,3.15E-15,3.85E-15,-4.52E-07,-1.01E-06,-1.69E-06,-2.51E-06
46,2.15E-15,2.57E-15,3.13E-15,3.84E-15,4.45608,4.03534,3.6122,3.22647,42.7832,35.5269,28.1887,20.3501,53.7679,44.8025,35.9122,26.6983,-4.28E-07,-9.87E-07,-1.66E-06,-2.47E-06,53.2469,44.4629,35.7171,26.6032,42.3473,35.2484,28.0334,20.2785,8.02319,6.61057,5.33722,4.28186,2.18E-15,2.60E-15,3.15E-15,3.86E-15,-4.51E-07,-1.01E-06,-1.68E-06,-2.49E-06
47,2.15E-15,2.57E-15,3.13E-15,3.85E-15,4.42026,4.00993,3.59526,3.21562,42.8055,35.5436,28.1832,20.2999,53.7861,44.8155,35.9018,26.6401,-4.28E-07,-9.85E-07,-1.66E-06,-2.46E-06,53.2597,44.4727,35.7054,26.545,42.3645,35.2623,28.027,20.2285,8.01763,6.6022,5.32531,4.26691,2.18E-15,2.60E-15,3.16E-15,3.87E-15,-4.51E-07,-1.01E-06,-1.68E-06,-2.47E-06
48,2.15E-15,2.57E-15,3.14E-15,3.86E-15,4.38596,3.98567,3.57922,3.20551,42.8275,35.5606,28.1793,20.2526,53.8041,44.8292,35.8934,26.5854,-4.28E-07,-9.83E-07,-1.65E-06,-2.45E-06,53.2725,44.4834,35.6959,26.4905,42.3818,35.2768,28.0223,20.1815,8.01213,6.59401,5.31378,4.2525,2.18E-15,2.60E-15,3.16E-15,3.88E-15,-4.50E-07,-1.00E-06,-1.67E-06,-2.46E-06
49,2.15E-15,2.58E-15,3.14E-15,3.87E-15,4.35315,3.9625,3.56402,3.19608,42.8493,35.5781,28.1769,20.2082,53.8218,44.8434,35.8868,26.5341,-4.29E-07,-9.81E-07,-1.64E-06,-2.43E-06,53.2855,44.4948,35.6883,26.4393,42.3992,35.2918,28.0192,20.1373,8.00669,6.58599,5.30259,4.23859,2.18E-15,2.60E-15,3.16E-15,3.89E-15,-4.50E-07,-1.00E-06,-1.66E-06,-2.45E-06
50,2.15E-15,2.58E-15,3.14E-15,3.87E-15,4.32177,3.94037,3.54961,3.1873,42.8709,35.5958,28.1758,20.1664,53.8392,44.858,35.8819,26.4859,-4.29E-07,-9.80E-07,-1.64E-06,-2.42E-06,53.2984,44.5068,35.6826,26.3914,42.4164,35.3073,28.0175,20.0959,8.0013,6.57814,5.29173,4.22515,2.18E-15,2.60E-15,3.17E-15,3.89E-15,-4.50E-07,-1.00E-06,-1.66E-06,-2.43E-06
51,2.15E-15,2.58E-15,3.15E-15,3.88E-15,4.29179,3.91926,3.53596,3.17912,42.8922,35.6139,28.176,20.127,53.8564,44.8731,35.8786,26.4407,-4.29E-07,-9.79E-07,-1.63E-06,-2.41E-06,53.3114,44.5195,35.6785,26.3465,42.4337,35.3233,28.0171,20.0569,7.99596,6.57043,5.28117,4.21216,2.18E-15,2.60E-15,3.17E-15,3.90E-15,-4.50E-07,-9.99E-07,-1.65E-06,-2.42E-06
52,2.15E-15,2.58E-15,3.15E-15,3.89E-15,4.26314,3.89912,3.52303,3.1715,42.9132,35.6321,28.1773,20.0901,53.8733,44.8885,35.8768,26.3984,-4.29E-07,-9.78E-07,-1.63E-06,-2.40E-06,53.3244,44.5327,35.676,26.3044,42.451,35.3396,28.0179,20.0204,7.99067,6.56286,5.2709,4.1996,2.18E-15,2.60E-15,3.17E-15,3.91E-15,-4.49E-07,-9.97E-07,-1.65E-06,-2.41E-06
53,2.15E-15,2.58E-15,3.15E-15,3.89E-15,4.23579,3.8799,3.51076,3.16441,42.9339,35.6505,28.1796,20.0553,53.8899,44.9041,35.8763,26.3586,-4.29E-07,-9.77E-07,-1.62E-06,-2.39E-06,53.3374,44.5464,35.675,26.2651,42.4682,35.3562,28.0199,19.9861,7.98543,6.55543,5.26089,4.18745,2.18E-15,2.60E-15,3.18E-15,3.92E-15,-4.49E-07,-9.96E-07,-1.64E-06,-2.40E-06
54,2.15E-15,2.58E-15,3.15E-15,3.90E-15,4.20968,3.86157,3.49914,3.15781,42.9544,35.6691,28.1829,20.0226,53.9062,44.92,35.877,26.3214,-4.29E-07,-9.76E-07,-1.62E-06,-2.38E-06,53.3504,44.5604,35.6753,26.2283,42.4853,35.3732,28.023,19.9539,7.98024,6.54812,5.25115,4.17568,2.18E-15,2.61E-15,3.18E-15,3.92E-15,-4.49E-07,-9.95E-07,-1.64E-06,-2.39E-06
55,2.15E-15,2.58E-15,3.15E-15,3.91E-15,4.18479,3.84408,3.48813,3.15167,42.9746,35.6877,28.1871,19.9919,53.9223,44.9361,35.8788,26.2865,-4.30E-07,-9.75E-07,-1.62E-06,-2.37E-06,53.3634,44.5749,35.6768,26.1938,42.5024,35.3903,28.0269,19.9236,7.97509,6.54093,5.24165,4.16428,2.18E-15,2.61E-15,3.18E-15,3.93E-15,-4.49E-07,-9.93E-07,-1.63E-06,-2.38E-06
56,2.15E-15,2.58E-15,3.16E-15,3.91E-15,4.16105,3.82742,3.47769,3.14597,42.9945,35.7064,28.1921,19.963,53.938,44.9523,35.8817,26.2539,-4.30E-07,-9.74E-07,-1.61E-06,-2.36E-06,53.3763,44.5897,35.6794,26.1617,42.5194,35.4077,28.0318,19.8953,7.96998,6.53384,5.23237,4.15323,2.18E-15,2.61E-15,3.18E-15,3.93E-15,-4.49E-07,-9.92E-07,-1.63E-06,-2.37E-06
